,Mins,Rating,Market Value,Fee,Class
236,3420,6.69,2.7,2.52,1
237,3301,7.23,31.0,0.0,1
238,2833,6.68,18.0,22.5,1
239,2253,7.2,22.0,0.0,1
240,2080,7.16,58.0,0.0,1
241,2301,7.15,31.0,0.0,1
242,2405,7.15,58.0,0.0,1
243,2614,7.13,54.0,0.0,1
244,2398,7.13,36.0,0.0,1
245,2898,7.12,16.0,0.0,1
246,1715,6.66,0.0,0.0,1
247,2347,6.65,4.5,6.03,1
248,2657,7.08,45.0,0.0,1
249,3420,7.07,18.0,0.0,1
250,3134,7.06,67.0,0.0,1
251,2707,7.06,21.0,0.0,1
252,2003,7.05,25.0,0.0,1
253,2652,7.03,18.0,0.0,1
254,1771,6.63,7.2,15.21,1
255,3030,7.02,18.0,0.0,1
256,2977,7.0,21.0,0.0,1
257,1828,7.0,36.0,0.0,1
258,3420,6.62,3.6,3.6,1
259,2883,6.99,36.0,0.0,1
260,2885,6.98,21.0,0.0,1
261,3038,6.98,54.0,0.0,1
262,1897,6.61,10.8,9.63,1
263,2944,6.96,18.0,0.0,1
264,2858,6.96,36.0,0.0,1
265,2129,6.6,14.4,0.0,1
266,3021,6.95,27.0,0.0,0
267,2003,6.95,16.0,0.0,1
268,896,6.59,7.2,18.0,1
269,3010,6.94,27.0,0.0,1
270,2842,6.93,16.0,0.0,0
271,2722,6.58,9.0,18.0,1
272,2568,6.92,27.0,0.0,0
273,1980,6.91,27.0,0.0,1
274,3150,6.89,54.0,0.0,1
275,2185,6.89,22.0,0.0,1
276,1826,6.54,1.35,10.26,1
277,2777,6.52,4.5,2.25,1
278,1957,6.87,18.0,0.0,0
279,2252,6.86,19.0,0.0,1
280,1433,6.5,1.8,7.16,1
281,3092,6.85,49.0,0.0,1
282,1416,6.49,1.35,2.25,2
283,1415,6.49,16.2,0.0,2
284,2270,6.84,67.0,0.0,1
285,3330,6.45,14.4,16.2,2
286,2880,6.84,22.0,0.0,0
287,1954,6.84,16.0,0.0,1
288,1618,6.83,15.0,0.0,1
289,3043,6.81,18.0,0.0,0
290,1841,6.4,4.5,4.5,2
291,2054,6.33,900.0,0.0,2
292,3150,6.76,18.0,0.0,1
293,2017,6.75,20.0,0.0,1
294,3112,6.73,32.0,0.0,1
295,876,6.22,5.4,5.4,2
296,2109,6.72,16.0,0.0,1
297,2900,7.32,18.0,16.65,1
298,1991,7.25,18.0,27.0,1
299,1378,6.69,31.0,0.0,1
300,3274,7.24,7.65,8.73,1
301,1594,7.2,810.0,4.05,1
302,1594,7.2,13.5,31.5,1
303,1852,6.66,15.0,0.0,1
304,3071,7.15,3.6,0.0,1
305,2459,6.64,15.0,0.0,1
306,2852,7.06,11.7,8.78,1
307,2619,7.06,27.0,23.99,1
308,2296,6.6,16.0,0.0,1
309,3072,7.05,2.52,4.73,1
310,1919,7.03,9.0,13.77,1
311,2364,6.59,18.0,0.0,1
312,2561,7.02,4.5,4.77,1
313,1536,7.01,2.25,4.28,1
314,2652,6.99,4.05,2.34,1
315,1379,6.99,810.0,4.05,1
316,1379,6.99,13.5,31.5,1
317,534,6.53,9.0,0.0,1
318,2804,6.97,7.2,5.31,1
319,3310,6.95,9.0,9.45,1
320,2672,6.93,12.6,0.0,1
321,2063,6.92,1.8,5.85,1
322,3196,6.92,4.5,1.8,1
323,1972,6.89,40.5,34.2,1
324,2610,6.88,900.0,3.6,1
325,2310,6.88,6.3,0.0,1
326,3046,6.86,1.08,1.08,1
327,2866,7.89,10.0,0.0,0
328,2182,6.86,6.3,7.2,1
329,3332,7.62,67.0,0.0,0
330,2339,7.52,36.0,0.0,1
331,1676,7.44,36.0,0.0,1
332,2737,7.34,40.0,0.0,1
333,1991,7.31,54.0,0.0,0
334,2520,6.85,36.0,0.0,1
335,3132,7.27,11.0,0.0,0
336,3082,7.27,22.0,0.0,0
337,2880,7.25,22.0,0.0,1
338,2695,7.24,58.0,0.0,1
339,2625,7.19,40.0,0.0,1
340,2502,7.18,9.0,0.0,0
341,3081,6.82,6.3,9.0,0
342,3228,7.1,13.0,0.0,0
343,3081,6.82,6.3,9.0,0
344,2529,7.09,36.0,0.0,0
345,3081,6.82,6.3,9.0,0
346,3081,6.82,6.3,9.0,0
347,1887,7.07,67.0,0.0,1
348,2339,6.81,675.0,3.82,0
349,1615,7.07,27.0,0.0,1
350,2421,6.81,22.5,4.5,0
351,2466,7.06,13.0,0.0,1
352,3069,7.05,40.0,0.0,1
353,3150,7.05,9.0,0.0,1
354,1440,6.8,2.25,2.7,1
355,2750,6.78,1.98,0.0,1
356,2046,7.02,31.0,0.0,1
357,1765,6.74,4.5,7.2,1
358,2921,6.73,9.0,18.0,1
359,1685,6.94,40.0,0.0,0
360,2090,6.72,900.0,0.0,0
361,2125,6.93,13.0,0.0,1
362,2924,6.72,450.0,0.0,1
363,1857,6.91,22.0,0.0,0
364,2364,6.91,16.0,0.0,1
