,Player,Mins,Rating,Market Value,Fee,Class
833,Kurt Zouma,2613,6.78,77.40633835983249,0.0,1
834,Zanka,2148,6.77,76.80991472589716,0.0,1
835,Joe Bennett,2641,6.77,77.98062975892503,0.0,1
836,Ryan Bennett,3060,6.77,78.97561880322252,0.0,1
837,Nemanja Matic,2441,6.76,78.0134951386861,0.0,1
838,Oriol Romeu,2142,6.76,77.30346715719458,0.0,1
839,Abdoulaye Doucouré,3062,6.76,79.48816863870701,0.0,1
840,Ashley Barnes,2388,6.75,78.39543782038447,0.0,1
841,Moussa Sissoko,2337,6.75,78.27432936869195,0.0,1
842,Charlie Taylor,3240,6.75,80.41866136630688,0.0,1
843,Johann Gudmundsson,1749,6.74,77.38582064538042,0.0,1
844,Pablo Zabaleta,2092,6.74,78.2003343499008,0.0,1
845,Naby Keita,1394,6.74,76.54281083457943,0.0,1
846,Angelo Ogbonna,1871,6.74,77.67553105923315,0.0,1
847,Paul Dummett,1987,6.74,77.95099341994558,0.0,1
848,Aaron Mooy,2327,6.73,79.26618358233355,0.0,1
849,Neil Etheridge,3420,6.72,82.36950441382908,0.0,1
850,Will Hughes,2436,6.72,80.0328236988201,0.0,1
851,Lewis Dunk,3153,6.72,81.7354660490858,0.0,1
852,Mamadou Sakho,2417,6.72,79.98770486387582,0.0,1
853,Víctor Camarasa,2579,6.72,80.37240229866387,0.0,1
854,Patrick van Aanholt,3198,6.71,82.35012693207574,0.0,1
855,Adam Smith,2073,6.71,79.67861696826975,0.0,1
856,Juan Mata,1295,6.7,78.33891989551546,0.0,1
857,Steve Mounie,1778,6.69,79.99368865774721,0.0,1
858,Dan Gosling,1738,6.69,79.8987016368119,0.0,1
859,André-Frank Zambo Anguissa,1519,6.69,79.37864769719096,0.0,1
860,Ben Davies,1839,6.69,80.13854386467358,0.0,1
861,Bruno Ecuele Manga,3374,6.69,83.78367079306662,0.0,1
862,Pascal Groß,1878,6.68,80.73895669452327,0.0,1
863,Aaron Cresswell,1591,6.68,80.05742481931236,0.0,1
864,Marc Albrighton,1627,6.68,80.14291313815414,0.0,1
865,Chris Wood,2596,6.67,82.95177420475005,0.0,1
866,Christian Kabasele,1587,6.67,80.55572660165654,0.0,1
867,Jeffrey Schlupp,1667,6.66,81.25350112796485,0.0,1
868,Roberto Pereyra,2825,6.66,84.00337538404244,0.0,1
869,Craig Cathcart,3099,6.66,84.65403647744944,0.0,1
870,Dale Stephens,2487,6.66,83.20073505713896,0.0,1
871,André Gomes,1986,6.65,82.51882310436179,0.0,0
872,Glenn Murray,2513,6.65,83.77027710518468,0.0,1
873,Davy Pröpper,2551,6.65,83.86051477507323,0.0,1
874,Mark Noble,2308,6.65,83.28346862289112,0.0,1
875,Anthony Knockaert,1833,6.64,82.66329823372195,0.0,1
876,Matthew Lowton,1748,6.64,82.46145081423435,0.0,1
877,Sam Vokes,916,6.63,80.99352126321736,0.0,1
878,Kepa Arrizabalaga,3240,6.63,86.51226717955967,0.0,1
879,Denis Odoi,2594,6.62,85.4860272758919,0.0,1
880,Dominic Calvert-Lewin,1776,6.61,84.05134318220229,0.0,1
881,Cyrus Christie,1945,6.61,84.452663345654,0.0,1
882,Ryan Bertrand,2160,6.61,84.9632185831814,0.0,1
883,Sead Kolasinac,1891,6.61,84.32443086739136,0.0,1
884,Aron Gunnarsson,2275,6.61,85.23630626837041,0.0,1
885,Jonathan Hogg,2377,6.6,85.98632365619329,0.0,1
886,Adrian Mariappa,1924,6.6,84.91059564410074,0.0,1
887,Tom Cairney,2200,6.6,85.5660060885545,0.0,1
888,Chicharito,1339,6.59,84.02921094735939,0.0,0
889,André Schürrle,1650,6.59,84.76773503513152,0.0,1
890,Christopher Schindler,3262,6.59,88.59571197882502,0.0,1
891,Alex McCarthy,2250,6.58,86.70034083359911,0.0,1
892,Jack Cork,3313,6.58,89.22462091495532,0.0,1
893,Mohamed Diamé,2166,6.57,87.00866857407254,0.0,0
894,Kiko Femenía,2046,6.55,87.73930848014209,0.0,1
895,Jean Michael Seri,2252,6.55,88.228491637959,0.0,1
896,Matteo Guendouzi,2144,6.55,87.97202668143365,0.0,1
897,Lee Peltier,1543,6.54,87.05264717631815,0.0,1
898,Kasper Schmeichel,3420,6.54,91.50991313370821,0.0,1
899,Kenedy,1345,6.53,87.09026190712603,0.0,1
900,Jack Stephens,1699,6.52,88.4386975268414,0.0,1
901,Alex Pritchard,2092,6.51,89.87974549196866,0.0,1
902,Theo Walcott,2124,6.51,89.95573510871691,0.0,1
903,Demarai Gray,1996,6.51,89.65177664172393,0.0,1
904,Shane Long,1271,6.5,88.43793737170887,0.0,1
905,DeAndre Yedlin,2475,6.5,91.29704670186214,0.0,1
906,Jordan Ayew,1187,6.5,88.23846462774469,0.0,1
907,Fernando Llorente,685,6.49,87.55417799944405,0.0,0
908,Luciano Vietto,987,6.48,88.77913049194348,0.0,0
909,David Junior Hoilett,2143,6.46,92.53985636584986,0.0,2
910,Joe Ralls,1960,6.45,92.61309122950843,0.0,2
911,Conor Coady,3420,6.45,96.08011749364778,0.0,2
912,Charlie Daniels,1586,6.45,91.72496258376316,0.0,2
913,Pedro Obiang,1121,6.44,91.12853894982777,0.0,0
914,Christian Atsu,1488,6.44,92.00004486690938,0.0,2
915,Cenk Tosun,1050,6.44,90.95993698766756,0.0,2
916,Olivier Giroud,834,6.43,90.95480755905459,0.0,2
917,Mat Ryan,3060,6.41,97.25643624298078,0.0,2
